id_bairro;bairro;cidade;endereco;longitude;latitude
B001;Areia Branca;São José do Rio Preto;Areia Branca, São José do Rio Preto, SP, Brasil;-49.393158;-20.7102182
B002;Auferville 5;São José do Rio Preto;Auferville 5, São José do Rio Preto, SP, Brasil;-49.3359196;-20.7465827
B003;Augusto da Silva;São José do Rio Preto;Augusto da Silva, São José do Rio Preto, SP, Brasil;-49.3319392;-20.7531693
B004;Azulão;São José do Rio Preto;Azulão, São José do Rio Preto, SP, Brasil;-49.3720087;-20.7665247
B005;Bio City Club Residencial;São José do Rio Preto;Bio City Club Residencial, São José do Rio Preto, SP, Brasil;-49.3322611;-20.7875525
B006;Boa Vista;São José do Rio Preto;Boa Vista, São José do Rio Preto, SP, Brasil;-49.3853446;-20.8024351
B007;Bom Jardim;São José do Rio Preto;Bom Jardim, São José do Rio Preto, SP, Brasil;-49.3825901;-20.8315896
B008;Bosque da Felicidade;São José do Rio Preto;Bosque da Felicidade, São José do Rio Preto, SP, Brasil;-49.359565;-20.7750041
B009;Bosque da Saúde;São José do Rio Preto;Bosque da Saúde, São José do Rio Preto, SP, Brasil;-49.3982201;-20.8249479
B010;Brejo Alegre;São José do Rio Preto;Brejo Alegre, São José do Rio Preto, SP, Brasil;-49.3409124;-20.8348162
B011;Cavalari III;São José do Rio Preto;Cavalari III, São José do Rio Preto, SP, Brasil;-49.3551451;-20.7589563
B012;Centro;São José do Rio Preto;Centro, São José do Rio Preto, SP, Brasil;-49.3788484;-20.8108488
B013;Centro Empresarial BR 153;São José do Rio Preto;Centro Empresarial BR 153, São José do Rio Preto, SP, Brasil;-49.3320465;-20.7338702
B014;Centro Industrial Pascutti;São José do Rio Preto;Centro Industrial Pascutti, São José do Rio Preto, SP, Brasil;-49.3364775;-20.8571275
B015;Chácara Bela Vista 1ª parte;São José do Rio Preto;Chácara Bela Vista 1ª parte, São José do Rio Preto, SP, Brasil;-49.3195794;-20.8669289
B016;Chácara Bela Vista 2ª parte;São José do Rio Preto;Chácara Bela Vista 2ª parte, São José do Rio Preto, SP, Brasil;-49.3172238;-20.8711216
B017;Chácara Municipal;São José do Rio Preto;Chácara Municipal, São José do Rio Preto, SP, Brasil;-49.3953504;-20.830656
B018;Chácara Santa Rita;São José do Rio Preto;Chácara Santa Rita, São José do Rio Preto, SP, Brasil;-49.3328297;-20.761115
B019;Chácaras São Pedro 3;São José do Rio Preto;Chácaras São Pedro 3, São José do Rio Preto, SP, Brasil;-49.3957382;-20.7402266
B020;Chácaras Tranquilidade;São José do Rio Preto;Chácaras Tranquilidade, São José do Rio Preto, SP, Brasil;-49.3849397;-20.7796533
B021;Chácaras de Recreio Felicidade;São José do Rio Preto;Chácaras de Recreio Felicidade, São José do Rio Preto, SP, Brasil;-49.34623;-20.7490408
B022;Chácaras de Recreio Nossa Senhora do Líbano;São José do Rio Preto;Chácaras de Recreio Nossa Senhora do Líbano, São José do Rio Preto, SP, Brasil;-49.3185711;-20.7477867
B023;Chácaras de Recreio Terras de São José;São José do Rio Preto;Chácaras de Recreio Terras de São José, São José do Rio Preto, SP, Brasil;-49.3180668;-20.7415058
B024;Cidade Nova;São José do Rio Preto;Cidade Nova, São José do Rio Preto, SP, Brasil;-49.384532;-20.8369617
B025;Complexo Rios di Itália;São José do Rio Preto;Complexo Rios di Itália, São José do Rio Preto, SP, Brasil;-49.3350291;-20.7961583
B026;Condomínio Belvedere;São José do Rio Preto;Condomínio Belvedere, São José do Rio Preto, SP, Brasil;-49.3463154;-20.7785015
B027;Condomínio Eco Village I;São José do Rio Preto;Condomínio Eco Village I, São José do Rio Preto, SP, Brasil;-49.41370493241652;-20.860438125387386
B028;Condomínio Empresarial e Industrial Vale dos Cedros;São José do Rio Preto;Condomínio Empresarial e Industrial Vale dos Cedros, São José do Rio Preto, SP, Brasil;-49.3067265;-20.89067
B029;Condomínio Garden Village;São José do Rio Preto;Condomínio Garden Village, São José do Rio Preto, SP, Brasil;-49.3488089;-20.776577
B030;Condomínio Garden Village II;São José do Rio Preto;Condomínio Garden Village II, São José do Rio Preto, SP, Brasil;-49.3503835;-20.7738313
B031;Condomínio Jardim das Acácias;São José do Rio Preto;Condomínio Jardim das Acácias, São José do Rio Preto, SP, Brasil;-49.3710132;-20.766964
B032;Condomínio Jardins de Athenas;São José do Rio Preto;Condomínio Jardins de Athenas, São José do Rio Preto, SP, Brasil;-49.3452229;-20.7805827
B033;Condomínio Jardins de Barcelona;São José do Rio Preto;Condomínio Jardins de Barcelona, São José do Rio Preto, SP, Brasil;-49.3466371;-20.7804878
B034;Condomínio Las Palmas;São José do Rio Preto;Condomínio Las Palmas, São José do Rio Preto, SP, Brasil;-49.4060487;-20.8285487
B035;Condomínio Parque da Liberdade;São José do Rio Preto;Condomínio Parque da Liberdade, São José do Rio Preto, SP, Brasil;-49.3310988;-20.7732356
B036;Condomínio Parque da Liberdade II;São José do Rio Preto;Condomínio Parque da Liberdade II, São José do Rio Preto, SP, Brasil;-49.334018;-20.7705807
B037;Condomínio Parque da Liberdade III;São José do Rio Preto;Condomínio Parque da Liberdade III, São José do Rio Preto, SP, Brasil;-49.3325345;-20.7682539
B038;Condomínio Parque da Liberdade IV;São José do Rio Preto;Condomínio Parque da Liberdade IV, São José do Rio Preto, SP, Brasil;-49.3308932;-20.7660758
B039;Condomínio Parque da Liberdade V;São José do Rio Preto;Condomínio Parque da Liberdade V, São José do Rio Preto, SP, Brasil;-49.3266322;-20.7694919
B040;Condomínio Parque da Liberdade VI;São José do Rio Preto;Condomínio Parque da Liberdade VI, São José do Rio Preto, SP, Brasil;-49.329041;-20.7716397
B041;Condomínio Praças Golfe;São José do Rio Preto;Condomínio Praças Golfe, São José do Rio Preto, SP, Brasil;-49.4190306;-20.842459
B042;Condomínio Quinta do Golfe;São José do Rio Preto;Condomínio Quinta do Golfe, São José do Rio Preto, SP, Brasil;-49.4210455;-20.8511892
B043;Condomínio Residencial Damha;São José do Rio Preto;Condomínio Residencial Damha, São José do Rio Preto, SP, Brasil;-49.344319;-20.8126031
B044;Condomínio Residencial Damha II;São José do Rio Preto;Condomínio Residencial Damha II, São José do Rio Preto, SP, Brasil;-49.3422932;-20.8189668
B045;Condomínio Residencial Damha III;São José do Rio Preto;Condomínio Residencial Damha III, São José do Rio Preto, SP, Brasil;-49.3342685;-20.8159759
B046;Condomínio Residencial Damha IV;São José do Rio Preto;Condomínio Residencial Damha IV, São José do Rio Preto, SP, Brasil;-49.3362031;-20.821898
B047;Condomínio Residencial Damha V;São José do Rio Preto;Condomínio Residencial Damha V, São José do Rio Preto, SP, Brasil;-49.3345209;-20.8117071
B048;Condomínio Residencial Damha VI;São José do Rio Preto;Condomínio Residencial Damha VI, São José do Rio Preto, SP, Brasil;-49.3259876;-20.8088959
B049;Condomínio Residencial Gaivota I;São José do Rio Preto;Condomínio Residencial Gaivota I, São José do Rio Preto, SP, Brasil;-49.3391316;-20.8034555
B050;Condomínio Residencial Gaivota II;São José do Rio Preto;Condomínio Residencial Gaivota II, São José do Rio Preto, SP, Brasil;-49.3369727;-20.8084806
B051;Condomínio San Fernando Valley;São José do Rio Preto;Condomínio San Fernando Valley, São José do Rio Preto, SP, Brasil;-49.4300223;-20.8835331
B052;Condomínio Santa Apolônia;São José do Rio Preto;Condomínio Santa Apolônia, São José do Rio Preto, SP, Brasil;-49.3582089;-20.9223331
B053;Condomínio São Luís - Ipiguá;São José do Rio Preto;Condomínio São Luís - Ipiguá, São José do Rio Preto, SP, Brasil;-49.3834806;-20.7313115
B054;Condomínio Village Damha;São José do Rio Preto;Condomínio Village Damha, São José do Rio Preto, SP, Brasil;-49.3402947;-20.7801905
